dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,transfer_gate_v1,27,94.7131,84.2313,5.2869,0,0,0,0,7,30477,48,0.3871,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,27,94.7131,84.2313,5.2869,0,0,0,0,7,30477,48,0.3871,0.5,0
real_suzuki_miyaura,no_care_random,28,72.2509,70.3515,27.7491,0,0,0,0,0,0,48,0.4252,0.5,0
real_suzuki_miyaura,incumbent,28,80.5675,74.035,19.4325,0,0,0,0,0,0,48,0.4252,0.5,0
real_suzuki_miyaura,target_local_no_gate,28,80.5675,75.3415,19.4325,0,1,0,0,0,0,48,0.4252,0.5,0
real_suzuki_miyaura,target_local_gate_v1,28,80.5675,75.3415,19.4325,0,1,0,0,0,0,48,0.4252,0.5,0
real_suzuki_miyaura,transfer_no_gate,28,80.5675,76.648,19.4325,0,6,1,0,7,31802,48,0.4252,0.5,0
real_suzuki_miyaura,transfer_gate_v1,28,80.5675,76.648,19.4325,0,6,1,0,7,31802,48,0.4252,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,28,80.5675,76.648,19.4325,0,2,0,0,7,32009,48,0.4252,0.5,0
real_suzuki_miyaura,no_care_random,29,62.7748,47.0015,37.2252,0,0,0,0,0,0,48,0.3784,0.5,0
real_suzuki_miyaura,incumbent,29,88.1923,73.6355,11.8077,0,0,0,0,0,0,48,0.3784,0.5,0
real_suzuki_miyaura,target_local_no_gate,29,88.1923,73.6355,11.8077,0,0,0,0,0,0,48,0.3784,0.5,0
real_suzuki_miyaura,target_local_gate_v1,29,88.1923,73.6355,11.8077,0,0,0,0,0,0,48,0.3784,0.5,0
real_suzuki_miyaura,transfer_no_gate,29,88.1923,73.6355,11.8077,0,0,0,0,7,34037,48,0.3784,0.5,0
